call1_model,cases,expected_cases,found_cases,missing_cases,generation_coverage,D1_mean_best_score,D1_coverage,D1_precision,D1_f1,D2_mean_best_score,D2_coverage,D2_precision,D2_f1,D3_mean_best_score,D3_coverage,D3_precision,D3_f1,D4_order_score,D4_order_coverage,D4_strict_order_score,overall_mean_score,overall_with_D4_score,end_to_end_overall_mean_score,end_to_end_overall_with_D4_score,D1_global_assumption_mean_best_score,D1_global_assumption_recall,D1_global_assumption_precision,D1_global_assumption_f1,D1_local_assumption_mean_best_score,D1_local_assumption_recall,D1_local_assumption_precision,D1_local_assumption_f1,D1_gt_precondition_mean_best_score,D1_gt_precondition_recall,D1_gt_precondition_precision,D1_gt_precondition_f1,D1_previous_outcome_mean_best_score,D1_previous_outcome_recall,D1_previous_outcome_precision,D1_previous_outcome_f1
deepseek-r1-1.5b,3,8,3,5,0.375000,0.859424,1.000000,1.000000,1.000000,0.467295,0.833333,0.833333,0.833333,0.762205,0.833333,0.833333,0.833333,1.000000,1.000000,1.000000,0.696308,0.772231,0.261116,0.289587,0.902402,1.000000,1.000000,1.000000,0.961613,1.000000,1.000000,1.000000,0.857511,1.000000,1.000000,1.000000,0.576747,1.000000,1.000000,1.000000
deepseek-r1-7b,8,8,8,0,1.000000,0.641196,0.689583,1.000000,0.789815,0.506141,0.650000,0.910714,0.709662,0.675527,0.737500,0.940476,0.806277,0.500000,0.500000,0.500000,0.607622,0.580716,0.607622,0.580716,0.797281,0.875000,0.875000,0.875000,0.942930,1.000000,1.000000,1.000000,0.656393,0.736607,1.000000,0.829870,0.476969,0.520833,0.854167,0.595238
llama3.1-8b,8,8,8,0,1.000000,0.529801,0.471528,0.968750,0.617816,0.251350,0.225000,0.393750,0.274185,0.647095,0.800000,1.000000,0.872549,1.000000,0.645833,0.645833,0.476082,0.518520,0.476082,0.518520,0.179479,0.250000,0.187500,0.208333,0.933166,1.000000,0.875000,0.916667,0.593071,0.544643,0.968750,0.679933,0.416552,0.104167,0.500000,0.169643
llama3.2-1b,8,8,8,0,1.000000,0.560309,0.550694,0.966518,0.686460,0.164145,0.137500,0.300000,0.174256,0.634372,0.675000,0.896875,0.738474,0.500000,0.541667,0.500000,0.452942,0.464707,0.452942,0.464707,0.286112,0.375000,0.315476,0.340384,0.957283,1.000000,0.773810,0.850000,0.588461,0.602679,0.930804,0.711379,0.478223,0.291667,0.502976,0.275376
qwen2.5-coder-0.5b,7,8,7,1,0.875000,0.521539,0.442857,0.976190,0.600286,0.182142,0.171429,0.337302,0.215262,0.688913,0.828571,0.872222,0.846227,0.714286,0.619048,0.595238,0.464198,0.496958,0.406173,0.434838,0.120683,0.125000,0.125000,0.125000,0.948905,1.000000,1.000000,1.000000,0.563391,0.515306,0.904762,0.627044,0.448547,0.071429,0.428571,0.122449
qwen3-0.6b,2,8,2,6,0.250000,0.574802,0.533334,1.000000,0.685715,0.452497,0.150000,0.500000,0.230769,0.642519,0.750000,1.000000,0.833333,0.500000,0.500000,0.500000,0.556606,0.542455,0.139152,0.135614,0.416880,0.500000,0.500000,0.500000,0.954157,1.000000,1.000000,1.000000,0.624896,0.625000,1.000000,0.761905,0.427271,0.083334,0.500000,0.142857
tinyllama,7,8,7,1,0.875000,0.525858,0.534921,0.943878,0.673501,0.125323,0.057143,0.250000,0.091837,0.679071,0.757143,0.964286,0.820408,0.714286,0.619048,0.595238,0.443417,0.481373,0.387990,0.421201,0.296588,0.375000,0.321429,0.340909,0.819653,0.875000,0.767857,0.806818,0.545289,0.561224,0.943878,0.693878,0.481367,0.428571,0.714286,0.493197
